RUA DORVAL FERREIRA MEDEIROS,Inundação,112.09,1
RUA ANASTÁCIO NETO,Inundação,111.98,1
ALAMEDA ANTÔNIO LUZIA,Inundação,110.37,1
AVENIDA ANTÔNIO FRANCISCO,Inundação,109.95,1
TRAVESSA WILLIAN ADSON MATTOS,Inundação,109.78,1
RUA ESPERA FELIZ,Inundação,108.61,1
RUA DOUTOR ANTÔNIO FRANCISCO,Inundação,107.15,1
AVENIDA HERMES DE ALMEIDA,Inundação,105.12,1
VILA MARTINS,Inundação,103.29,1
VILA ALCINO CAMILO DE ANDRADE,Inundação,100.52,1
VILA PEDRO DE OLIVEIRA LIMA,Inundação,97.85,1
RUA AUGUSTA DA SILVA,Inundação,97.12,1
RUA SANTO ANTÔNIO,Inundação,96.08,1
TRAVESSA  SÃO  JOSÉ,Inundação,94.16,1
RUA ASTOLFO MENESES,Inundação,93.72,1
RUA JOAO BRAGA FILHO,Inundação,93.34,1
RUA JOAQUIM TEIXEIRA LEITE,Inundação,90.95,1
RUA PRIMEIRO DE NOVEMBRO,Inundação,88.51,1
TRAVESSA  SÃO  JOSÉ,Inundação,88.02,1
RUA JOÃO VICENTE,Inundação,87.63,1
RUA PASCHOAL DEMARQUES,Inundação,86.61,1
RUA ARTUR MAR DA SILVA,Inundação,86.52,1
RUA CORONEL AMADOR PINHEIRO DE BARROS,Inundação,84.96,1
TRAVESSA DUQUE DE CAXIAS,Inundação,84.75,1
RUA INÁCIO SANTO VI,Inundação,82.69,1
VILA TEREZA PAULO,Inundação,82.55,1
RUA JOAQUINA BALBINA,Inundação,80.5,1
VILA DELFINA MILITA PHILO,Inundação,78.32,1
VILA JORCELINA LAVIOLA MARQUES,Inundação,77.85,1
RUA JÚLIO BRANDÃO,Inundação,77.73,1
RUA DOUTOR OLAVO TOSTES,Inundação,68.62,1
RUA VICENTE CASCELLI,Inundação,68.33,1
VILA PURCINA AMÉLIA,Inundação,67.82,1
TRAVESSA FLÁVIO LEITE,Inundação,66.5,1
RUA PROFESSORA IVONILDE MURATORI ROCHA,Inundação,66.22,1
AVENIDA LUCIANO RODRIGUES DE PAULA,Inundação,63.24,1
TRAVESSA DEMERVAL OLIVIER DE PAULA,Inundação,60.69,1
RUA SÃO SEBASTIÃO,Inundação,60.69,1
VILA RODOLFO LICURGO,Inundação,60.29,1
RUA PEDRO MAZZINI,Inundação,57.35,1
RUA FLORINDA DE CARVALHO,Inundação,56.84,1
